"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"NE","popvote","republican",433862,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"NE","popvote","democrat",231780,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"NE","popvote","others",31377,NA,NA,NA,NA,NA,NA,NA
2000,"NE","evote","diff",-5,NA,NA,NA,NA,NA,NA,NA
2000,"NE","popvote","diff",-202082,NA,NA,NA,NA,NA,NA,NA
2000,"NE","popvoteperc","democrat",0.332530390132837,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"NE","popvoteperc","republican",0.622453620346074,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"NE","popvoteperc","diff",-0.289923230213237,NA,NA,NA,NA,NA,NA,NA
2000,"NV","evote","republican",4,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"NV","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"NV","popvote","republican",301575,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
